momentum_window_days,volatility_window_days,top_quantile,transaction_cost_bps,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,annualized_excess_return_vs_spy
504,63,0.4,10,0.18987818886669738,0.17873207414546916,1.0624815721670373,-0.2856675927391755,0.05147830910306794
504,63,0.3,25,0.18941581999732815,0.17832849954474603,1.0622212861547038,-0.25293916993872223,0.05101594023369871
504,21,0.3,0,0.18879340320282667,0.17801450889508674,1.0609333523177096,-0.25451995718035914,0.05039352343919723
126,21,0.3,25,0.18904140646645362,0.17833392397982484,1.0607456438199785,-0.25122118333812127,0.05064152670282418
504,21,0.4,10,0.18774885738071978,0.1792887190019522,1.0497324394303387,-0.26291148148175314,0.04934897761709034
126,63,0.3,10,0.185635974524885,0.17768285288549923,1.0477592592533584,-0.27135045799007096,0.047236094761255565
504,21,0.2,0,0.18351596378894652,0.17609844178361822,1.0450755219473997,-0.2775379742624463,0.04511608402531708
252,126,0.2,0,0.18319002104928384,0.1771853142063157,1.038495457234969,-0.26128745505661055,0.044790141285654395
504,63,0.4,25,0.1843879959100001,0.17872548543982889,1.0366215939972672,-0.28760527483520115,0.04598811614637066
126,63,0.2,0,0.17840441262096984,0.17481113642314003,1.027030283497446,-0.2583424015945981,0.0400045328573404
504,21,0.3,10,0.18103576836590096,0.1779752302911288,1.0243189790747145,-0.256479649027606,0.04263588860227152
504,126,0.3,0,0.17950548053551696,0.17686721243188647,1.0221722210616409,-0.27261488348569785,0.04110560077188752
504,126,0.4,0,0.17980174488228107,0.1779140036646144,1.0186887780918186,-0.2903701444211907,0.041401865118651626
252,21,0.2,25,0.18044293185837645,0.1786355503396354,1.018340313148821,-0.256596328693123,0.04204305209474701
504,21,0.4,25,0.1797560431213574,0.17927631389228132,1.0121060780097457,-0.2650927718265019,0.04135616335772796
252,63,0.2,0,0.1758710567420716,0.1754211225585186,1.0116562919602818,-0.26816894993657203,0.037471176978442156
504,126,0.3,10,0.17545594874762038,0.17682860511211274,1.0028958024370818,-0.2740472806606805,0.03705606898399094
504,126,0.4,10,0.17634306318320458,0.17789548348440648,1.0022625721768268,-0.2915430459807782,0.037943183419575144
252,126,0.2,10,0.17537094255735752,0.1771800475348117,1.001076333625235,-0.26179019658537284,0.03697106279372808
504,21,0.2,10,0.1736304045055197,0.17604251574793708,0.9976753210101582,-0.2792041438410269,0.03523052474189026
126,21,0.2,25,0.17763153632386186,0.1810483467056715,0.9941256154094699,-0.22674852281823576,0.03923165656023242
126,63,0.3,25,0.1727263315429608,0.17777600190468415,0.9856819698574597,-0.27235453780069496,0.03432645177933136
504,126,0.4,25,0.17117148004245752,0.17787968663732445,0.9775509892596309,-0.29330006470445724,0.032771600278828084
126,63,0.2,10,0.16823274986957504,0.1748714065863468,0.9771331814887132,-0.2591061201750414,0.029832870105945597
504,126,0.3,25,0.16940399756951963,0.17678822519300164,0.973868804382608,-0.2761928593054809,0.031004117805890186
252,63,0.2,10,0.16709298474251044,0.1753814736977808,0.9690945230266492,-0.26891145231847924,0.028693104978881
504,21,0.3,25,0.1694833216373024,0.17796658910893842,0.9690932540744285,-0.25941286851146184,0.031083441873672957
504,63,0.2,0,0.16834753082810083,0.17678563899720012,0.9687768259794045,-0.2767728888425891,0.029947651064471392
126,126,0.2,0,0.1644141030066253,0.1752310549741063,0.9568119666674327,-0.26176234946528654,0.02601422324299585
252,126,0.2,25,0.1637282036236931,0.17722315376004283,0.9446715147215016,-0.26254430887851654,0.025328323860063673
504,63,0.2,10,0.16164208172439753,0.17674625292194462,0.9363689540230641,-0.27916043605052987,0.023242201960768094
504,126,0.2,0,0.15595829466411293,0.17150464193358989,0.9310143576715006,-0.26556483657917496,0.017558414900483488
504,21,0.2,25,0.15893920782828275,0.17604145217377637,0.9260826076520219,-0.28227386411587896,0.020539328064653306
126,126,0.2,10,0.15510849388237458,0.17524216618593902,0.9109505883707952,-0.26226969009477885,0.016708614118745135
252,63,0.2,25,0.15403488035078827,0.17538746790108073,0.904877881714288,-0.27002520589134005,0.01563500058715883
504,126,0.2,10,0.15044987877381932,0.1714945948217659,0.9031907113871359,-0.26774254919733687,0.012049999010189882
126,63,0.2,25,0.15312147525093067,0.17504832955946734,0.9019059968831188,-0.26025169804570625,0.014721595487301231
504,63,0.2,25,0.1516465799602873,0.1767321976298909,0.8875038997073058,-0.28273316057088804,0.013246700196657857
504,126,0.2,25,0.14222959728252693,0.1715134960270307,0.861278500473191,-0.27100132452301895,0.003829717518897491
126,126,0.2,25,0.1412744481662782,0.175330401937657,0.8418256552114732,-0.26303070103901693,0.0028745684026487694
